id,name,address
2643,Memorial Community Hospital Mch & Health System,"810 North 22nd St, Blair, NE, 68008"
2644,Box Butte General Hospital,"P O Box 810, 2101 Box Butte Ave, Alliance, NE, 69301"
2645,Lexington Regional Health Center,"P O Box 980, 1201 North Erie St, Lexington, NE, 68850"
2646,Phelps Memorial Health Center,"1215 Tibbals St, Holdrege, NE, 68949"
2647,Community Hospital,"P O Box 1328, 1301 East H St, Mccook, NE, 69001"
2648,"Beatrice Community Hospital & Health Center, Inc","P O Box 278, 4800 Hospital Parkway, Beatrice, NE, 68310"
2649,Jennie M Melham Memorial Medical Center,"145 Memorial Drive, Broken Bow, NE, 68822"
2650,Boys Town National Research Hospital,"555 North 30th St, Omaha, NE, 68131"
2651,Children's Hospital & Medical Center,"8200 Dodge St, Omaha, NE, 68114"
2652,Renown Regional Medical Center,"1155 Mill Street, Reno, NV, 89502"
2653,Sunrise Hospital And Medical Center,"3186 S Maryland Pkwy, Las Vegas, NV, 89109"
2654,North Vista Hospital,"1409 East Lake Mead Blvd, North Las Vegas, NV, 89030"
2655,University Medical Center,"1800 W Charleston Blvd, Las Vegas, NV, 89102"
2656,Northeastern Nevada Regional Hospital,"2001 Errecart Blvd, Elko, NV, 89801"
2657,Saint Mary's Regional Medical Center,"235 W 6th St, Reno, NV, 89503"
2658,St Rose Dominican Hospitals - Rose De Lima Campus,"102 E Lake Mead Dr, Henderson, NV, 89015"
2659,Carson Tahoe Regional Medical Center,"1600 Medical Parkway, Carson City, NV, 89703"
2660,Valley Hospital Medical Center,"620 Shadow Lane, Las Vegas, NV, 89106"
2661,Desert Springs Hospital,"2075 East Flamingo Road, Las Vegas, NV, 89119"
2662,Northern Nevada Medical Center,"2375 Prater Way, Sparks, NV, 89434"
2663,Mountainview Hospital,"3100 N Tenaya Way, Las Vegas, NV, 89128"
2664,Summerlin Hospital Medical Center,"657 Town Center Drive, Las Vegas, NV, 89144"
2665,Harmon Hospital,"2170 East Harmon Avenue, Las Vegas, NV, 89119"
2666,St Rose Dominican Hospitals - Siena Campus,"3001 St Rose Parkway, Henderson, NV, 89052"
2667,Spring Valley Hospital Medical Center,"5400 South Rainbow Blvd, Las Vegas, NV, 89118"
2668,Southern Hills Hospital And Medical Center,"9300 West Sunset Rd, Las Vegas, NV, 89148"
2669,Renown South Meadows Medical Center,"10101 Double R Blvd, Reno, NV, 89521"
2670,St Rose Dominican Hospitals - San Martin Campus,"8280 W Warm Springs Road, Las Vegas, NV, 89113"
2671,Centennial Hills Hospital Medical Center,"6900 N Durango Dr, Las Vegas, NV, 89149"
2672,Mountain's Edge Hospital,"8656 West Patrick Lane, Las Vegas, NV, 89148"
2673,Henderson Hospital,"1050 West Galleria Drive, Henderson, NV, 89011"
2674,Mount Grant General Hospital,"First And A Streets, Hawthorne, NV, 89415"
2675,Incline Village Health Center,"880 Alder Street, Incline Village, NV, 89451"
2676,William Bee Ririe Hospital,"1500 Avenue H, Ely, NV, 89301"
2677,Battle Mountain General Hospital,"535 South Humboldt Street, Batte Mtn, NV, 89820"
2678,Pershing General Hospital,"855 6th Street/po Box 661, Lovelock, NV, 89419"
2679,Carson Valley Medical Center,"1107 Highway 395, Gardnerville, NV, 89410"
2680,Mesa View Regional Hospital,"1299 Bertha Howe Avenue, Mesquite, NV, 89027"
2681,Humboldt General Hospital,"118 East Haskell Street, Winnemucca, NV, 89445"
2682,Boulder City Hospital,"901 Adams Blvd, Boulder City, NV, 89005"
2683,Desert View Regional Medical Center,"360 South Lola Lane, Pahrump, NV, 89048"
2684,Grover C Dils Medical Center,"700 N Spring St, Box 1010-c-adm Bldg, Caliente, NV, 89008"
2685,Banner Churchill Community Hospital,"801 East Williams Avenue, Fallon, NV, 89406"
2686,South Lyon Medical Center,"213 S Whitacre/po Box 940, Yerington, NV, 89447"
2687,Concord Hospital,"250 Pleasant St, Concord, NH, 3301"
2688,Mary Hitchcock Memorial Hospital,"1 Medical Center Drive, Lebanon, NH, 3756"
2689,Lakes Region General Hospital,"80 Highland St, Laconia, NH, 3246"
2690,St Joseph Hospital,"172 Kinsley St, Nashua, NH, 3060"
2691,Elliot Hospital,"1 Elliot Way, Manchester, NH, 3103"
2692,Frisbie Memorial Hospital,"11 Whitehall Road, Rochester, NH, 3867"
2693,Parkland Medical Center,"1 Parkland Drive, Derry, NH, 3038"
2694,Wentworth-douglass Hospital,"789 Central Ave, Dover, NH, 3820"
2695,Cheshire Medical Center,"580 Court Street, Keene, NH, 3431"
2696,Southern Nh Medical Center,"8 Prospect Street, Nashua, NH, 3060"
2697,Exeter Hospital Inc,"5 Alumni Drive, Exeter, NH, 3833"
2698,Portsmouth Regional Hospital,"333 Borthwick Ave, Portsmouth, NH, 3801"
2699,Catholic Medical Center,"100 Mcgregor Street, Manchester, NH, 3102"
2700,Upper Connecticut Valley Hospital,"181 Corliss Lane, Colebrook, NH, 3576"
2701,Cottage Hospital,"90 Swiftwater Rd, Woodsville, NH, 3785"
2702,Littleton Regional Healthcare,"600 St Johnsbury Road, Littleton, NH, 3561"
2703,Weeks Medical Center,"173 Middle Street, Lancaster, NH, 3584"
2704,New London Hospital,"273 County Road, New London, NH, 3257"
2705,Alice Peck Day Memorial Hospital,"10 Alice Peck Day Drive, Lebanon, NH, 3766"
2706,Franklin Regional Hospital,"15 Aiken Avenue, Franklin, NH, 3235"
2707,"Memorial Hospital, The","3073 White Mountain Highway, North Conway, NH, 3860"
2708,Valley Regional Hospital,"243 Elm Street, Claremont, NH, 3743"
2709,Monadnock Community Hospital,"452 Old Street Road, Peterborough, NH, 3458"
2710,Androscoggin Valley Hospital,"59 Page Hill Road, Berlin, NH, 3570"
2711,Speare Memorial Hospital,"16 Hospital Road, Plymouth, NH, 3264"
2712,Huggins Hospital,"240 South Main Street, Wolfeboro, NH, 3894"
2713,Hackensack University Medical Center,"30 Prospect Ave, Hackensack, NJ, 7601"
2714,Newark Beth Israel Medical Center,"201 Lyons Ave, Newark, NJ, 7112"
2715,Palisades Medical Center,"7600 River Rd, North Bergen, NJ, 7047"
2716,Hunterdon Medical Center,"2100 Wescott Drive, Flemington, NJ, 8822"
2717,St Mary's General Hospital,"350 Boulevard, Passaic, NJ, 7055"
2718,Holy Name Medical Center,"718 Teaneck Rd, Teaneck, NJ, 7666"
2719,Clara Maass Medical Center,"One Clara Maass Drive, Belleville, NJ, 7109"
2720,Univ Medical Center Of Princeton At Plainsboro,"One-five Plainsboro Road, Plainsboro, NJ, 8536"
2721,Cape Regional Medical Center Inc,"Two Stone Harbor Blvd, Cape May Court House, NJ, 8210"
2722,Valley Hospital,"223 N Van Dien Avenue, Ridgewood, NJ, 7450"
2723,Cooper University Hospital,"1 Cooper Plaza, Camden, NJ, 8103"
2724,Morristown Medical Center,"100 Madison Ave, Morristown, NJ, 7962"
2725,Carepoint Health-christ Hospital,"176 Palisade Ave, Jersey City, NJ, 7306"
2726,Chilton Medical Center,"97 West Parkway, Pompton Plains, NJ, 7444"
2727,St Joseph's Regional Medical Center,"703 Main St, Paterson, NJ, 7503"
2728,St Francis Medical Center,"601 Hamilton Ave, Trenton, NJ, 8629"
2729,Virtua West Jersey Hospitals Berlin,"Whitehorse Pike And Townsend Avenue, Berlin, NJ, 8009"
2730,Robert Wood Johnson University Hospital At Rahway,"865 Stone St, Rahway, NJ, 7065"
2731,Carepoint Health - Bayonne Medical Center,"29 East 29th St, Bayonne, NJ, 7002"
2732,Trinitas Regional Medical Center,"225 Williamson Street, Elizabeth, NJ, 7207"
2733,Newton Medical Center,"175 High St, Newton, NJ, 7860"
2734,Our Lady Of Lourdes Medical Center,"1600 Haddon Avenue, Camden, NJ, 8103"
2735,Deborah Heart And Lung Center,"200 Trenton Road, Browns Mills, NJ, 8015"
2736,Inspira Medical Center Vineland,"1505 W Sherman Ave, Vineland, NJ, 8360"
2737,Riverview Medical Center,"One Riverview Plaza, Red Bank, NJ, 7701"
2738,Robert Wood Johnson University Hospital,"One Robert Wood Johnson Place, New Brunswick, NJ, 8901"
2739,Raritan Bay Medical Center Perth Amboy Division,"530 New Brunswick Ave, Perth Amboy, NJ, 8861"
2740,Carepoint Health-hoboken University Medical Center,"308 Willow Ave, Hoboken, NJ, 7030"
2741,Community Medical Center,"99 Rt 37 West, Toms River, NJ, 8755"
2742,Capital Health Medical Center - Hopewell,"One Capital Way, Pennington, NJ, 8534"
2743,Englewood Hospital And Medical Center,"350 Engle St, Englewood, NJ, 7631"
2744,Shore Medical Center,"100 Medical Center Way, Somers Point, NJ, 8244"
2745,Robert Wood Johnson University Hospital Somerset,"110 Rehill Ave, Somerville, NJ, 8876"
2746,Saint Clare's Hospital/ Denville Campus,"25 Pocono Road, Denville, NJ, 7834"
2747,Overlook Medical Center,"99 Beauvoir Avenue, Summit, NJ, 7902"
2748,Ocean Medical Center,"425 Jack Martin Blvd, Brick, NJ, 8724"
2749,Hackensack-umc Mountainside,"Bay And Highland Ave, Montclair, NJ, 7042"
2750,Virtua Memorial Hospital Of Burlington County,"175 Madison Ave, Mount Holly, NJ, 8060"
2751,Bergen Regional Medical Center,"230 East Ridgewood Ave, Paramus, NJ, 7652"
2752,St Luke's Warren Hospital,"185 Roseberry St, Phillipsburg, NJ, 8865"
2753,Lourdes Medical Center Of Burlington County,"218a Sunset Road, Willingboro, NJ, 8046"
2754,Atlanticare Regional Medical Center - City Campus,"1925 Pacific Avenue, Atlantic City, NJ, 8401"
2755,Inspira Medical Center Elmer,"501 West Front Street, Post Office Box  1090, Elmer, NJ, 8318"
2756,Saint Peter's University Hospital,"254 Easton Ave, New Brunswick, NJ, 8901"
2757,Jersey Shore University Medical Center,"1945 Rte 33, Neptune, NJ, 7754"
2758,Jersey City Medical Center,"355 Grand Street, Jersey City, NJ, 7302"
2759,Monmouth Medical Center,"300 Second Avenue, Long Branch, NJ, 7740"
2760,Saint Barnabas Medical Center,"94 Old Short Hills Road, Livingston, NJ, 7039"
2761,Inspira Medical Center Woodbury,"509 N Broad St, Woodbury, NJ, 8096"
2762,East Orange General Hospital,"300 Central Ave, East Orange, NJ, 7018"
2763,Monmouth Medical Center-southern Campus,"600 River Ave, Lakewood, NJ, 8701"
2764,Kennedy University Hospital - Stratford Div,"18 East Laurel Road, Stratford, NJ, 8084"
2765,Memorial Hospital Of Salem County,"310 Woodstown Road, Salem, NJ, 8079"
2766,Capital Health System-fuld Campus,"750 Brunswick Ave, Trenton, NJ, 8638"
2767,Saint Michael's Medical Center,"111 Central Avenue, Newark, NJ, 7102"
2768,Jfk Medical Ctr - Anthony M. Yelencsics Community,"65 James Street, Edison, NJ, 8818"
2769,Robert Wood Johnson University Hospital Hamilton,"One Hamilton Health Place, Hamilton, NJ, 8690"
2770,Centrastate Medical Center,"901 West Main Street, Freehold, NJ, 7728"
2771,Bayshore Community Hospital,"727 N Beers St, Holmdel, NJ, 7733"
2772,Southern Ocean Medical Center,"1140 Rt 72 W, Manahawkin, NJ, 8050"
2773,Hackettstown Medical Center,"651 Willow Grove St, Hackettstown, NJ, 7840"
2774,Meadowlands Hospital Medical Center,"55 Meadowlands Pkwy, Secaucus, NJ, 7094"
2775,University Hospital,"150 Bergen St, Newark, NJ, 7101"
2776,Hackensack-umc At Pascack Valley,"250 Old Hook Road, Westwood, NJ, 7675"
2777,Children's Specialized Hospital,"200 Somerset Street, New Brunswick, NJ, 8901"
2778,Weisman Childrens Rehabilitation Hospital,"92 Brick Road, 3rd Floor, Marlton, NJ, 8053"
2779,Unm Hospital,"2211 Lomas Boulevard Ne, Albuquerque, NM, 87106"
2780,Christus St Vincent Regional Medical Center,"455 St Michael's Drive, Santa Fe, NM, 87505"
2781,San Miguel Corp D/b/a Alta Vista Regional Hospital,"104 Legion Drive, Las Vegas, NM, 87701"
2782,Gerald Champion Regional Medical Center,"2669 North Scenic Drive, Alamogordo, NM, 88310"
2783,San Juan Regional Medical Center,"801 West Maple Street, Farmington, NM, 87401"
2784,Eastern New Mexico Medical Center,"405 W Country Club Road, Roswell, NM, 88201"
2785,Lovelace Medical Center,"601 Dr Martin Luther King Jr Ave Ne, Albuquerque, NM, 87102"
2786,Presbyterian Espanola Hospital,"1010 Spruce Street, Espanola, NM, 87532"
2787,Holy Cross Hospital A Div Of Taos Health Systems,"1397 Weimer Road, Taos, NM, 87571"
2788,Gila Regional Medical Center,"1313 E 32nd St, Silver City, NM, 88061"
2789,Lovelace Women's Hospital,"4701 Montgomery Boulevard Ne, Albuquerque, NM, 87109"
2790,Memorial Medical Center,"2450 South Telshor Blvd, Las Cruces, NM, 88011"
2791,Presbyterian Hospital,"1100 Central Avenue Se, Albuquerque, NM, 87106"
2792,Plains Regional Medical Center,"2100 N Martin Luther King, Jr, Blvd, Clovis, NM, 88101"
2793,Artesia General Hospital,"702 N 13th Street, Artesia, NM, 88210"
2794,Los Alamos Medical Center,"3917 West Road, Los Alamos, NM, 87544"
2795,Rehoboth Mckinley Christian Health Care Services,"1901 Red Rock Drive, Gallup, NM, 87301"
2796,Santa Fe Phs Indian Hospital,"1700 Cerrillos Road, Santa Fe, NM, 87501"
2797,Mescalero Phs Indian Hospital,"P O Box 210, Mescalero, NM, 88340"
2798,Northern Navajo Medical Center,"Us Hwy 491 North, Shiprock, NM, 87420"
2799,Zuni Comprehensive Community Health Center,"Route 301 North B Street, Zuni, NM, 87327"
2800,Gallup Indian Medical Center,"516 E Nizhoni Blvd, Gallup, NM, 87301"
2801,Crownpoint Healthcare Facility,"Junction Of Hwy 371, Crownpoint, NM, 87313"
2802,Carlsbad Medical Center,"2430 West Pierce Street, Carlsbad, NM, 88220"
2803,Lea Regional Medical Center,"5419 N Lovington Highway, Hobbs, NM, 88240"
2804,Guadalupe County Hospital,"117 Camino De Vida, Suite 100, Santa Rosa, NM, 88435"
2805,Dhhs Usphs Indian Health Services,"Exit #102 Off I-40 1/2 Mile South, San Fidel, NM, 87049"
2806,Lovelace Westside Hospital,"10501 Golf Course Road Nw, Albuquerque, NM, 87114"
2807,Roosevelt General Hospital,"42121 Us Highway 70, Portales, NM, 88130"
2808,Mountain View Regional Medical Center,"4311 East Lohman Avenue, Las Cruces, NM, 88011"
2809,Lovelace Regional Hospital - Roswell,"117 East 19th Street, Roswell, NM, 88201"
2810,Unm Sandoval Regional Medical Center,"3001 Broadmoor Blvd Ne, Rio Rancho, NM, 87144"
2811,Sierra Vista Hospital,"800 East 9th Street, T Or C, NM, 87901"
2812,Socorro General Hospital,"1202 Highway 60 West, Socorro, NM, 87801"
2813,Dr Dan C Trigg Memorial Hospital,"301 East Miel De Luna Avenue, Tucumcari, NM, 88401"
2814,Union County General Hospital,"300 Wilson Street, Clayton, NM, 88415"
2815,Nor-lea Hospital District,"1600 North Main Ave, Lovington, NM, 88260"
2816,Lincoln County Medical Center,"211 Sudderth Drive, Ruidoso, NM, 88345"
2817,Miners' Colfax Medical Center,"203 Hospital Drive, Raton, NM, 87740"
2818,Cibola General Hospital,"1016 E Roosevelt Avenue, Grants, NM, 87020"
2819,Mimbres Memorial Hospital,"900 W Ash, Deming, NM, 88031"
2820,Albany Memorial Hospital,"600 Northern Boulevard, Albany, NY, 12204"
2821,Healthalliance Hospital Broadway Campus,"396 Broadway, Kingston, NY, 12401"
2822,Kaleida Health,"726 Exchange Street, Suite 522, Buffalo, NY, 14210"
2823,St Joseph's Medical Center,"127 South Broadway, Yonkers, NY, 10701"
2824,Wyoming County Community Hospital,"400 North Main Street, Warsaw, NY, 14569"
2825,Bronx-lebanon Hospital Center,"1276 Fulton Avenue, Bronx, NY, 10456"
2826,"Our Lady Of Lourdes Memorial Hospital, Inc","169 Riverside Drive, Binghamton, NY, 13905"
2827,Albany Medical Center Hospital,"43 New Scotland Avenue, Mail Code 34, Albany, NY, 12208"
2828,Jamaica Hospital Medical Center,"89th Avenue And Van Wyck Expressway, Jamaica, NY, 11418"
2829,"New York Community Hospital Of Brooklyn, Inc.","2525 Kings Highway, Brooklyn, NY, 11229"
2830,Vassar Brothers Medical Center,"45 Reade Place, Poughkeepsie, NY, 12601"
2831,Mount Sinai Hospital,"One Gustave L Levy Place, New York, NY, 10029"
2832,Nassau University Medical Center,"2201 Hempstead Turnpike, East Meadow, NY, 11554"
2833,Richmond University Medical Center,"355 Bard Avenue, Staten Island, NY, 10304"
2834,Newark-wayne Community Hospital,"111 Driving Park Avenue, Newark, NY, 14513"
2835,"Chenango Memorial Hospital, Inc","179 North Broad Street, Norwich, NY, 13815"
2836,Southside Hospital,"301 East Main Street, Bay Shore, NY, 11706"
2837,Faxton-st Luke's Healthcare,"1656 Champlin Avenue, Utica, NY, 13503"
2838,Huntington Hospital,"270 Park Avenue, Huntington, NY, 11743"
2839,Mount Sinai West,"1000 Tenth Avenue, New York, NY, 10019"
2840,St Mary's Hospital At Amsterdam,"427 Guy Park Avenue, Amsterdam, NY, 12010"
2841,Northern Dutchess Hospital,"6511 Springbrook Avenue, Rhinebeck, NY, 12572"
2842,New York-presbyterian/queens,"56-45 Main Street, Flushing, NY, 11355"
2843,Brooklyn Hospital Center At Downtown Campus,"121 Dekalb Avenue, Brooklyn, NY, 11201"
2844,St Peter's Hospital,"315 South Manning Boulevard, Albany, NY, 12208"
2845,Geneva General Hospital,"196 -198 North Street, Geneva, NY, 14456"
2846,Montefiore Medical Center,"111 East 210th Street, Bronx, NY, 10467"
2847,Lawrence Hospital Center,"55 Palmer Avenue, Bronxville, NY, 10708"
2848,Niagara Falls Memorial Medical Center,"621 Tenth Street, Niagara Falls, NY, 14302"
2849,United Memorial Medical Center,"127 North Street, Batavia, NY, 14020"
2850,F F Thompson Hospital,"350 Parrish Street, Canandaigua, NY, 14424"
2851,Sisters Of Charity Hospital,"2157 Main Street, Buffalo, NY, 14214"
2852,Adirondack Medical Center,"2233 State Route 86, Saranac Lake, NY, 12983"
2853,Lincoln Medical & Mental Health Center,"234 East 149th Street, Bronx, NY, 10451"
2854,Alice Hyde Medical Center,"133 Park Street, Malone, NY, 12953"
2855,Aurelia Osborn Fox Memorial Hospital,"One Norton Avenue, Oneonta, NY, 13820"
2856,Montefiore Mount Vernon Hospital,"12 North 7th Avenue, Mount Vernon, NY, 10550"
2857,Eastern Long Island Hospital,"201 Manor Place, Greenport, NY, 11944"
2858,Arnot Ogden Medical Center,"600 Roe Avenue, Elmira, NY, 14905"
2859,Columbia Memorial Hospital,"71 Prospect Avenue, Hudson, NY, 12534"
2860,Jones Memorial Hospital,"191 North Main Street, Wellsville, NY, 14895"
2861,N Y Eye And Ear Infirmary,"230 Second Ave, New York, NY, 10003"
2862,New York-presbyterian Hospital,"525 East 68th Street, New York, NY, 10065"
2863,Kenmore Mercy Hospital,"2950 Elmwood Avenue, Kenmore, NY, 14217"
2864,Olean General Hospital,"515 Main Street, Olean, NY, 14760"
2865,Nyack Hospital,"160 North Midland Avenue, Nyack, NY, 10960"
2866,North Shore University Hospital,"300 Community Drive, Manhasset, NY, 11030"
2867,Peconic Bay Medical Center,"1300 Roanoke Avenue, Riverhead, NY, 11901"
2868,"St Joseph's Hospital, Inc","555 St Joseph's Blvd, Elmira, NY, 14902"
2869,Bertrand Chaffee Hospital,"224 East Main Street, Springville, NY, 14141"
2870,Oneida Healthcare,"321 Genesee Street, Oneida, NY, 13421"
2871,Lenox Hill Hospital,"100 East 77th Street, New York, NY, 10021"
2872,Rochester General Hospital,"1425 Portland Avenue, Rochester, NY, 14621"
2873,Orange Regional Medical Center,"707 East Main Street, Middletown, NY, 10940"
2874,Jacobi Medical Center,"1400 Pelham Parkway South, Bronx, NY, 10461"
2875,Elmhurst Hospital Center,"79-01 Broadway, Elmhurst, NY, 11373"
2876,Tlc Health Network,"845 Routes 5 And 20, Irving, NY, 14081"
2877,Bon Secours Community Hospital,"160 East Main Street, Port Jervis, NY, 12771"
2878,Mary Imogene Bassett Hospital,"One Atwell Road, Cooperstown, NY, 13326"
2879,St Joseph's Hospital Health Center,"301 Prospect Avenue, Syracuse, NY, 13203"
2880,Brookhaven Memorial Hospital Medical Center,"101 Hospital Road, Patchogue, NY, 11772"
2881,"Ira Davenport Memorial Hospital, Inc","7571 State Route 54, Bath, NY, 14810"
2882,St James Mercy Hospital,"411 Canisteo Street, Hornell, NY, 14843"
2883,Ellis Hospital,"1101 Nott Street, Schenectady, NY, 12308"
2884,Samaritan Medical Center,"830 Washington Street, Watertown, NY, 13601"
2885,Good Samaritan Hospital Of Suffern,"255 Lafayette Avenue, Suffern, NY, 10901"
2886,Staten Island University Hospital,"475 Seaview Avenue, Staten Island, NY, 10305"
2887,Northern Westchester Hospital,"400 East Main Street, Mount Kisco, NY, 10549"
2888,Eastern Niagara Hospital,"521 East Avenue, Lockport, NY, 14094"
2889,Highland Hospital,"1000 South Avenue, Rochester, NY, 14620"
2890,"Westfield Memorial Hospital, Inc","189 East Main Street, Westfield, NY, 14787"
2891,Nyu Winthrop Hospital,"259 First Street, Mineola, NY, 11501"
2892,Mount Sinai Beth Israel/petrie Campus,"First Avenue At 16th Street, New York, NY, 10003"
2893,"Cortland Regional Medical Center, Inc","134 Homer Avenue, Cortland, NY, 13045"
2894,Samaritan Hospital,"2215 Burdett Avenue, Troy, NY, 12180"
2895,Glen Cove Hospital,"101 St Andrews Lane, Glen Cove, NY, 11542"
2896,"St Francis Hospital, Roslyn","100 Port Washington Boulevard, Roslyn, NY, 11576"
2897,Montefiore New Rochelle Hospital,"16 Guion Place, New Rochelle, NY, 10802"
2898,John T Mather Memorial Hospital  Of Port Jefferson,"75 North Country Road, Port Jefferson, NY, 11777"
2899,Mount St Mary's Hospital And  Health Center,"5300 Military Road, Lewiston, NY, 14092"
2900,Glens Falls Hospital,"100 Park Street, Glens Falls, NY, 12801"
2901,Flushing Hospital Medical Center,"45th Avenue And Parsons Boulevard, Flushing, NY, 11355"
2902,Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY, 11219"
2903,Long Island Jewish Medical Center,"270 - 05 76th Avenue, New Hyde Park, NY, 11040"
2904,Coney Island Hospital,"2601 Ocean Parkway, Brooklyn, NY, 11235"
2905,Canton-potsdam Hospital,"50 Leroy Street, Potsdam, NY, 13676"
2906,South Nassau Communities Hospital,"One Healthy Way, Oceanside, NY, 11572"
2907,Metropolitan Hospital Center,"1901 First Avenue, New York, NY, 10029"
2908,Kingsbrook Jewish Medical Center,"585 Schenectady Avenue, Brooklyn, NY, 11203"
2909,Kings County Hospital Center,"451 Clarkson Avenue, Brooklyn, NY, 11203"
2910,Crouse Hospital,"736 Irving Avenue, Syracuse, NY, 13210"
2911,Bellevue Hospital Center,"462 First Avenue, New York, NY, 10016"
2912,St Anthony Community Hospital,"15 - 19  Maple Avenue, Warwick, NY, 10990"
2913,St John's Riverside Hospital,"976 North Broadway, Yonkers, NY, 10701"
2914,Claxton-hepburn Medical Center,"214 King Street, Ogdensburg, NY, 13669"
2915,Nyu Hospitals Center,"550 First Avenue, New York, NY, 10016"
2916,"Rome Memorial Hospital, Inc","1500 North James Street, Rome, NY, 13440"
2917,Oswego Hospital,"110 West Sixth Street, Oswego, NY, 13126"
2918,Erie County Medical Center,"462 Grider Street, Buffalo, NY, 14215"
2919,Wyckoff Heights Medical Center,"374 Stockholm Street, Brooklyn, NY, 11237"
2920,Saratoga Hospital,"211 Church Street, Saratoga Springs, NY, 12866"
2921,Massena Memorial Hospital,"1 Hospital Drive, Massena, NY, 13662"
2922,Healthalliance Hospital Marys Avenue Campus,"105 Mary's Avenue, Kingston, NY, 12401"
2923,Unity Hospital Of Rochester,"1555 Long Pond Road, Rochester, NY, 14626"
2924,Brooks Memorial Hospital,"529 Central Avenue, Dunkirk, NY, 14048"
2925,Queens Hospital Center,"82-68 164th Street, Jamaica, NY, 11432"
2926,St Mary's Hospital ( Troy ),"1300 Massachusetts Avenue, Troy, NY, 12180"
2927,Brookdale Hospital Medical Center,"1 Brookdale Plaza, Brooklyn, NY, 11212"
2928,Westchester Medical Center,"100 Woods Rd, Valhalla, NY, 10595"
2929,Auburn Memorial Hospital,"17 Lansing Street, Auburn, NY, 13021"
2930,New York-presbyterian Brooklyn Methodist Hospital,"506 Sixth Street, Brooklyn, NY, 11215"
2931,Nicholas H Noyes Memorial Hospital,"111  Clara Barton Street, Dansville, NY, 14437"
2932,Woman's Christian Association,"207 Foote Avenue, Jamestown, NY, 14701"
2933,Harlem Hospital Center,"506 Lenox Avenue, New York, NY, 10037"
2934,University Hospital S U N Y Health Science Center,"750 East Adams Street, Syracuse, NY, 13210"
2935,St Elizabeth Medical Center,"2209 Genesee Street, Utica, NY, 13501"
2936,St Charles Hospital,"200 Belle Terre Road, Port Jefferson, NY, 11777"
2937,Champlain Valley Physicians Hospital Medical Ctr,"75 Beekman Street, Plattsburgh, NY, 12901"
2938,Mercy Medical Center,"1000 North Village Avenue, Rockville Centre, NY, 11570"
2939,Phelps Memorial Hospital Assn,"701 North Broadway, Sleepy Hollow, NY, 10591"
2940,St Luke's Cornwall Hospital,"70 Dubois Street, Newburgh, NY, 12550"
2941,Clifton Springs Hospital And Clinic,"2 Coulter Road, Clifton Springs, NY, 14432"
2942,New York-presbyterian/hudson Valley Hospital,"1980 Crompond Road, Cortlandt Manor, NY, 10567"
2943,Cobleskill Regional Hospital,"178 Grandview Drive, Cobleskill, NY, 12043"
2944,Hospital For Special Surgery,"535 East 70th Street, New York, NY, 10021"
2945,Putnam Hospital Center,"670 Stoneleigh Avenue, Carmel, NY, 10512"
2946,Nathan Littauer Hospital,"99 East State Street, Gloversville, NY, 12078"
2947,Corning Hospital,"1 Guthrie Drive, Corning, NY, 14830"
2948,Mercy Hospital Of Buffalo,"565 Abbott Road, Buffalo, NY, 14220"
2949,Strong Memorial Hospital,"601 Elmwood Ave, Rochester, NY, 14642"
2950,Good Samaritan Hospital Medical Center,"1000 Montauk Highway, West Islip, NY, 11795"
2951,White Plains Hospital Center,"41 East Post R0ad, White Plains, NY, 10601"
2952,Cayuga Medical Center At Ithaca,"101 Dates Drive, Ithaca, NY, 14850"
2953,Plainview Hospital,"888 Old Country Road, Plainview, NY, 11803"
2954,St Joseph Hospital,"4295 Hempstead Turnpike, Bethpage, NY, 11714"
2955,Southampton Hospital,"240 Meeting House Lane, Southampton, NY, 11968"
2956,University Hospital Of Brooklyn ( Downstate ),"445 Lenox Road, Brooklyn, NY, 11203"
2957,North Central Bronx Hospital,"3424 Kossuth Avenue & 210th Street, Bronx, NY, 10467"
2958,Catskill Regional Medical Center,"68 Harris Bushville Road, Harris, NY, 12742"
2959,Rockefeller University Hospital,"1230 York Avenue, New York, NY, 10021"
2960,University Hospital ( Stony Brook ),"Health Sciences Center Suny, Stony Brook, NY, 11794"
2961,"United Health Services Hospitals, Inc","10-42 Mitchell Avenue, Binghamton, NY, 13903"
2962,St John's Episcopal Hospital At South Shore,"327 Beach 19th Street, Far Rockaway, NY, 11691"
2963,Woodhull Medical And Mental Health Center,"760 Broadway, Brooklyn, NY, 11206"
2964,Interfaith Medical Center,"1545 Atlantic Avenue, Brooklyn, NY, 11213"
2965,St Barnabas Hospital,"4422 Third Avenue, Bronx, NY, 10457"
2966,St Catherine Of Siena Hospital,"50 Route 25a, Smithtown, NY, 11787"
2967,Monroe Community Hospital,"435 East Henrietta Road, Rochester, NY, 14620"
2968,Helen Hayes Hospital,"51 North Route 9w, West Haverstraw, NY, 10993"
2969,Sunnyview Hospital And Rehabilitation Center,"1270 Belmont Avenue, Schenectady, NY, 12308"
2970,Tri-town Regional Healthcare,"43 West Pearl Street, Sidney, NY, 13838"
2971,Burdett Care Center,"2215 Burdett Ave, Troy, NY, 12180"
2972,"Cuba Memorial Hospital, Inc","140 West Main Street, Cuba, NY, 14727"
2973,Elizabethtown Community Hospital,"75 Park Street, Elizabethtown, NY, 12932"
